Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
Who holds the record for the highest number of goals in a single UEFA Champions League season?,Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,This Portuguese athlete was born in 1985 and is a professional footballer who plays as a forward and captain.,This athlete plays both for the Saudi Pro League club Al Nassr and the Portugal national team.,"This athlete is one of the few players to have over 1,200 professional career appearances.",This athlete finished as the competition's top scorer for six consecutive seasons between 2012 and 2018.,This athlete is considered one of the world's most marketable and famous athletes and ranked the world's highest paid athlete by Forbes in 2016; 2017 and 2023.,1,2,3,4,5
"What artist's music videos, including 'Thriller' and 'Billie Jean,' became iconic in the history of the medium?",Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,"Often referred to as the ""King of Pop,"" this artist revolutionized the music genre.","His music video for 'Thriller,' is widely regarded as one of the greatest music videos of all time.",'Billie Jean' showcased his innovative use of visual effects and paved the way for the narrative-driven approach to music videos.,"His influence extends beyond music, as he was a philanthropist and global humanitarian, contributing to various charitable causes.","With a career spanning decades, his impact on pop culture, dance, and music is immeasurable, solidifying his status as one of the most significant entertainers in history.",1,2,3,4,5
"Name the company founded by Sam Walton in 1962, with its first store in Rogers, Arkansas.",Walmart,https://en.wikipedia.org/wiki/Walmart,The company owns and operates Sam's Club retail warehouses.,The chairman of this company is CEO of the Denver Broncos.,"The company's ventures failed in Germany, Japan, South Korea, Brazil, and Argentina.","The company acquired video streaming company Vudu, Inc.",The company was listed on the New York Stock Exchange in 1972.,1,2,3,4,5
Who was the first American chess grandmaster and World Chess Champion?,Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer,"This chess prodigy achieved the title of Grandmaster at the age of 15, making him the youngest at that time and the first American to attain the highest chess rank.","He rise to prominence culminated in his historic victory over Boris Spassky in the 1972 World Chess Championship, marking the first time an American became the world champion.",His unorthodox playing style and strategic innovations contributed to his success and left a lasting impact on the world of chess.,"Despite his chess brilliance, his later life was marked by controversy and reclusiveness, overshadowing his earlier achievements.","His legacy extends beyond his individual accomplishments, as his contributions to chess elevated the sport's popularity in the United States and around the world.",1,2,3,4,5
"Name the U.S. state that has a rich history of Native American Pueblos, including Taos Pueblo, a UNESCO World Heritage Site.",New Mexico,https://en.wikipedia.org/wiki/New_Mexico,This is one of the mountain states of U.S state,The oldest state capital in the U.S. is located in this place,Tthe most spectacular natural rock formation in the world,The first nuclear bomb was tested in this stae,Rrio Grande flows through the center of this state,1,2,3,4,5
Identify the famous game franchise developed by Rovio Entertainment in 2009.,Angry Birds,https://en.wikipedia.org/wiki/Angry_Birds,The game franchise features flock of colorful angry birds who try to save their eggs from green-colored pigs.,The game franchise is the most downloaded freemium game series of all time.,"The first game of the franchise was inspired by the game ""Crush the Castle"".",The full name of the main character in the game franchise is Red J. Bird.,The game franchise saw its first film adaptation be released on 20 May 2016.,1,2,3,4,5
"Identify the movie that stars Leonardo DiCaprio as Jordan Belfort, a stockbroker engaged in corrupt activities.",The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film),"This movie is a 2013 American epic biographical black comedy crime film co-produced and directed by Martin Scorsese and written by Terence Winter, based on Jordan Belfort's 2007 memoir of the same name.","This movie recounts Jordan Belfort's career as a stockbroker in New York City and how his firm, Stratton Oakmont, engaged in rampant corruption and fraud, leading to his downfall.","This movie stars Leonardo DiCaprio as Belfort, Jonah Hill as his business partner and friend, Donnie Azoff, Margot Robbie as his second wife, Naomi Lapaglia, Matthew McConaughey as his mentor and former boss Mark Hanna, and Kyle Chandler as FBI agent Patrick Denham.","This movie premiered in New York City on December 17, 2013, and was released in the United States on December 25, 2013, by Paramount Pictures.",This movie was the first major American film to be released exclusively through digital distribution.,1,2,3,4,5
Which Canadian actor played memorable roles in comedies like 'Spy Hard' and 'Dracula: Dead and Loving It'?,Leslie Nielsen,https://en.wikipedia.org/wiki/Leslie_Nielsen,This Canadian actor made his audience laugh in parodies using deadpan humor.,"Known for his impeccable comedic timing, this comedian left an unforgettable mark on the world of comedy.",This actor was celebrated for his adeptness in deadpan humor and comedic timing.,"This Canadian actor is well-loved for his long-lasting comedy skills, leaving a lasting mark in showbiz with over 100 films.",This actor portrayed the character Detective Frank Drebin throughout a popular film series.,2,3,4,5,1
"What nation is associated with iconic cultural symbols such as the red telephone box, and double-decker buses?",England,https://en.wikipedia.org/wiki/England,"The meaning of the name of the country is ""land of the angles"".",The country consists of Great Britain and many small islands.,It has Scotland in it's north side and Wales to it's west.,It is part of the United Kingdom.,It has the University of Oxford and the University of Cambridge.,5,1,2,4,3
"Name the tennis player who has won multiple Grand Slam singles titles, holding the record for most weeks spent as the world No. 1.",Novak Djokovic,https://en.wikipedia.org/wiki/Novak_Djokovic,"The player is considered a part of the ""Big Three"" group of tennis players, alongside Nadal and Federer.",The player is Serbian.,The player's stance on the covid vaccine led to his being forced to skip many tournaments.,The player is the only man to achieve a triple Career Grand Slam.,The player was appointed a UNICEF Goodwill Ambassador in 2015.,1,2,3,4,5
What is the common name for a radiation survey meter?,Geiger counter,https://en.wikipedia.org/wiki/Geiger_counter,This meter puts out two types of detected radiation readouts: counts and radiation dose.,This type of early counter in 1928 was only capable of detecting alpha particles.,"In 1928 this meter design was small and rugged, not only could it detect alpha and beta radiation as prior models had done, but also gamma radiation.",Modern versions of this counter used halogen quench gases.,This is perhaps one of the world's best-known radiation detection instruments.,1,2,3,4,5
Which country is home to Mount Ararat?,Turkey,https://en.wikipedia.org/wiki/Turkey,This country located at the juncture of southeast europe and west asia,this is founding member of OECD and G20 and is classified among the E7 countries and EAGLEs,it is ranked fourth in the world in terms of the number of International tourist arrival with 50.5 millions of foreign tourists,this country's national football team won the bronze medal  at the 2002 FIFA world cup,this country's national traditional sport is YAGLI GURES (oil wrestling) since Ottoman times.,1,2,5,3,4
"Name the Marvel superhero who is a genius billionaire, philanthropist, and inventor.",Iron Man,https://en.wikipedia.org/wiki/Iron_Man,This hero started his career as a weapons manufacturer,The hero's heart is severely injured by shrapnel.,The character was introduced as an active player in the Vietnam War,He is captured by the communist Wong-Chu,He inherited his family's business after his parents were killed in a car crash,1,2,3,4,5
"In 2018, which prolific scorer moved from Real Madrid to a prominent Italian football club?",Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,"Ronaldo was one of the most well-known sports stars off the field, and numerous studies of athletes popularity showed that he was the most-beloved athlete in the world during his playing peak. His extreme popularity made Ronaldo one of the highest-paid endorsers in sports history.","On his home soil, after moving through the youth and under-21 ranks, Ronaldo had made his first appearance for Portugal’s full national team against Kazakhstan in August 2003. He was a key player in Portugal’s fourth-place finish at the 2006 World Cup and became the full-time captain of the national team in 2008.","Ronaldo’s father, José Dinis Aveiro, was the equipment manager for the local club Andorinha.","At age 15 Ronaldo was diagnosed with a heart condition that necessitated surgery, but he was sidelined only briefly and made a full recovery. He first played for Clube Desportivo Nacional of Madeira and then transferred to Sporting Clube de Portugal, where he played for that club’s various youth teams before making his debut on Sporting’s first team in 2002.","Cristiano Ronaldo has never lacked in self-confidence, once telling an interviewer:Most of the time, I inspired myself. I'm self-motivated.",4,3,5,4,4
"What Christopher Nolan-directed film, released in 2010, explores the concept of shared dreaming and subconscious exploration?",Inception,https://en.wikipedia.org/wiki/Inception,It is the fourth highest grossing film of 2010.,It was produced by Nolan with his wife.,It won four oscars.,Music for the film is by Hans Zimmer.,It is a science fiction action film regarding thief steals one's subconscious targets.,2,3,1,4,5
Which car manufacturer introduced the 'Lexus' luxury brand to the market?,Toyota,https://en.wikipedia.org/wiki/Toyota,"Other than Lexus, the manufacturer also produces vehicles under the Daihatsu and Hino brands.",The manufacturer is the largest automobile manufacturer in the world.,"One of the manufacturer's cars was featured in the first Fast & Furious film, belonging to the character of Dominic Toretto.",Google founders Larry Page and Sergey Brin drive one of the manufacturer's cars.,The manufacturer is the world's leader in sales of hybrid electric vehicles.,1,2,3,4,5
"Identify the horror film that is set in the fictional town of Derry, Maine.",It,https://en.wikipedia.org/wiki/It_(2017_film),This is a 2017 supernatural horror film and was also a novel written in 1986.,This is a two part adaptation of the 1986 novel written by Stephen King..,This film had characters named Georgie Bill and Beverly.,This horror film has Pennywise the clown.,This film premiered in LA set numerous box office records grossing over $701 million worldwide becoming the highest grossing R rated film at that time.,1,2,3,4,5
Which American city has the most public art?,Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,This is the second most populous city in both the North East and Mid Atlantic Regions.,This city was founded by William Penn in 1682.,This is the nation's 6th most populous city.,The flag of this city is blue and yellow vertical triband featuring a seal in the center with a woman on each side.,"The four guiding principles of this City are found on the flag: peace, hope, abundance and justice.",1,2,3,4,5
"What term is often associated with the idea of workers' control, where employees have a direct say in the decision-making processes of their workplaces?",Socialism,https://en.wikipedia.org/wiki/Socialism,"This political and economic system advocates for the collective ownership and control of the means of production, emphasizing the role of workers in decision-making.",Advocates of this ideology argue for a more equitable distribution of wealth and the elimination of class distinctions in society.,Key figures like Karl Marx and Friedrich Engels played pivotal roles in developing the theoretical foundations of this socio-economic system.,"The concept of a planned economy, where the state or the community controls major industries, aligns with the principles of this ideology.","This term is often contrasted with capitalism, highlighting differing views on private ownership and wealth accumulation.",1,2,3,4,5
"Identify the nation that is home to the two holiest cities in Islam, Mecca, and Medina.",Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,"This nation is in West Asia and has a land area of about 2150000 km2 (830000 sq mi), making it the fifth-largest country in Asia and the largest in the Middle East.","This nation is bordered by the Red Sea to the west; Jordan, Iraq, and Kuwait to the north; the Persian Gulf, Qatar and the United Arab Emirates to the east; Oman to the southeast; and Yemen to the south.",The Kingdom of this nation was founded in 1932 by King Abdulaziz.,The economy of this nation is the largest in the Middle East; the world's eighteenth-largest economy by nominal GDP and the seventeenth largest by PPP.,"As a country with a very high Human Development Index, this nation offers a tuition-free university education, no personal income tax, and a free universal health care system.",1,2,5,3,4
Identify the movie that features Leonardo DiCaprio as Dom Cobb.,Inception,https://en.wikipedia.org/wiki/Inception,"This is a 2010 science fiction action film With a cast of Leonardo DiCaprio, Tom Hardy, Cillian Murphy.","This film had the original script that Nolan presented to Warner Brothers envisioning ""dream stealers"" based on lucid dreaming",This movie grossed over $837 million worldwide in 2010.,This movie was the fourth highest grossing film of 2010.,"This movie won 4 Oscars for Best Cinematography, Best Sound Editing, Best Sound Mixing and Best Visual Effects.",1,2,3,4,5
Identify the studio that gained early success with titles like 'Crash Bandicoot' and 'Jak and Daxter.',Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog,This is a video game company whose founders include Andy Gavin and Jason Rubin.,This first game released by this video game franchise was called Math Jam.,Sony's ICE team is based within this video game company.,This video game company took home the Studio of the Year award at the 2013 VGX awards.,"This video game company was previously known as JAM Software, Inc.",1,5,4,3,2
"Identify the scientist who advocated for international control of nuclear weapons but later faced opposition and controversy, leading to his exclusion from further government work.",Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer,This scientist played a key role in the development of the atomic bomb during World War II.,"He was the director of the Los Alamos Laboratory, where the atomic bomb was developed.",He faced opposition and controversy due to his left-leaning political views during the McCarthy era.,This scientist was known for his contributions to theoretical physics and quantum mechanics.,He was later stripped of his security clearance and barred from further government work.,1,2,3,4,5
What epic fantasy novel is written by J.R.R. Tolkien and is the basis for a film trilogy directed by Peter Jackson?,The Lord of the Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings,"Novel where more than 2,000 weapons and 10,000 arrows were created for the filming.",Fantasy novel where the role of Gandalf was offered to Sean Connery.,"It was a monumental achievement in filmmaking history, successfully adapting one of the most cherished pieces of fiction of all time.","The series, Tolkien's publisher thought that it was too long to publish as one volume.",The series in which christopher lee originally wanted to play gandalf.,1,2,3,4,5
In which European nation can you visit Auschwitz-Birkenau?,Poland,https://en.wikipedia.org/wiki/Poland,This country has a flag that consists of two horizontal stripes of equal width the upper is white and the lower is red.,"What country's anthem is titled with its name and includes the wording ""Is Not Lost Yet""?",What country has Vistula as its longest river?,"What country has prehistoric human activity on its soil that dates to c. 10,000 BCE.?",What country has land that extends from the Baltic Sea in the north to the Carpathian Mountains in the south?,1,2,3,4,5
Name the character who is the husband of Marge in a TV series set in Springfield.,Homer Simpson,https://en.wikipedia.org/wiki/Homer_Simpson,"This character is the father of Bart, Lisa, and Maggie.",He works at the Springfield Nuclear Power Plant.,He is known for his love of donuts.,He is often seen wearing a white shirt and blue pants.,He is a main character in the longest-running American sitcom.,1,2,3,4,5
Identify the speedy character who is Sega's mascot.,Sonic the Hedgehog,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog,This video game character is blue and known for being very fast.,This video game was released in 1991 to compete with Nintendo's Mario.,This video game characters enemy is Eggman who is scheming to obtain emeralds.,"This video game character franchise was created by Yuji Naka, Naoto Ohshima, and Hirokazu Yasuhara.",This video games success helped Sega become one of the leading video game consoles in the early 1990s.,1,2,3,4,5
Identify the television series from 2005 to 2014 that features a group of friends living in New York City and explores their relationships.,How I Met Your Mother,https://en.wikipedia.org/wiki/How_I_Met_Your_Mother,"The series is narrated by Ted Mosby, an architect who recounts the events that led him to meet his children's mother.","The series is known for its humor, its exploration of relationships, and its use of a framing device","The show has won numerous awards, including an Emmy Award for Outstanding Supporting Actor in a Comedy Series for Neil Patrick Harris' portrayal of Barney Stinson",The show has been criticized for its portrayal of gender roles and stereotypes,"The series finale was controversial and divided fans, but it remains a popular and enduring show",1,2,3,4,5
"Identify the publisher that has created diverse and culturally significant characters, such as Black Canary, Cyborg, and John Stewart (Green Lantern).",DC Comics,https://en.wikipedia.org/wiki/DC_Comics,It was known as “Detective Comics”,It finally gave Batman's co-creator his due in 2015.,Started as National Allied Publications in 1934.,It was created in the 1940s with the debut of the Justice Society of America.,"After a series of mergers, It is owned by Warner Bros. today.",1,2,3,4,5
"What 2017 movie was a commercial success, becoming one of the highest-grossing horror films of all time?",It,https://en.wikipedia.org/wiki/It_(2017_film),This is a supernatural horror film that stars the brother of Alexander Skarsgård.,The main character in this movie is Bill Denbrough.,"In this movie, Jaeden Lieberher stars as the main character Bill.",This movie was directed by Andy Muschietti.,"The setting for this movie is in Derry, Maine.",5,1,2,3,4
"Name the animated show, debuting in 1989, that has featured a wide array of guest stars, including Ronaldinho, George Clooney or Matt Damon.",The Simpsons,https://en.wikipedia.org/wiki/The_Simpsons,It is an american animated sitcom created by Matt Groening.,It is the longest-running American animated series.,The series is a satirical depiction of American life.,"The main characters are a family, who live in a fictional ""Middle America"" town.",It takes place in a fictional American town called Springfield.,4,5,3,2,1
"Who, in 2016, became the first musician to be awarded the Nobel Prize in Literature?",Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,This man wrote music featuring a laidback Caribbean style.,This man is popular for the song Buffalo Soldier.,This man wrote a song that featured a soldier as a main character.,This man was the inspiration behind later music by Bruce Springsteen.,This man was a major influence on David Mitchell.,1,2,3,4,5
"What television show, often considered one of the greatest in the history of television, features Bryan Cranston and Aaron Paul?",Breaking Bad,https://en.wikipedia.org/wiki/Breaking_Bad,The show premiered on AMC in 2008 and ran for five seasons until its conclusion in 2013.,"It was named as the second favorite show in the 2015 survey by The Hollywood Reporter of 2,800 actors, producers, directors, and other industry people.","By its end, the series was among the most-watched cable shows on American television, with audience numbers doubling from the fourth season to the fifth.","The show's final episode, ""Felina,"" aired on September 29, 2013, and was watched by over 10 million viewers.",This television show was created and produced by Vince Gilligan for AMC and its original score was composed by Dave Porter.,2,5,4,3,1
"What shared universe produced the 2016 film 'Suicide Squad,' featuring a team of antiheroes?",DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,This franchise was launched in 2013 with a superhero film directed by Zack Snyder.,The highest grossing film of the franchise is Aquaman which released in 2018 and earned over $1.15 billion worldwide.,"The franchise introduced its version of the Justice League, featuring a team-up between several superheroes, in 2016.","The franchise cancelled The Batgirl, Man of Steel 2, Cyborg.","One of the main villains in the franchise is Darkseid, the ruler of Apokolips.",1,2,3,4,5
The world's best selling celebrity perfume line belongs to whom?,Beyoncé,https://en.wikipedia.org/wiki/Beyoncé,The celebrity is married to rapper Jay Z.,The celebrity was once part of a trio with Kelly Rowland and Michelle Williams.,The celebrity's sister is also a singer.,The celebrity is CEO and owner of a clothing line called Ivy Park.,The celebrity starred in films such as 'Austin Powers in Goldmember' and 'Dreamgirls'.,1,2,3,4,5
"Name the father of Bart, Lisa, and Maggie, who often finds himself in humorous and absurd situations.",Homer Simpson,https://en.wikipedia.org/wiki/Homer_Simpson,He is the protagonist in the popular animated television sitcom The Simpsons.,"His iconic catchphrase ""D'oh!"" has been formally recognized and included in two esteemed dictionaries: The New Oxford Dictionary of English since 1998 and the Oxford English Dictionary since 2001.",He works as a safety inspector at the Springfield Nuclear Power Plant.,He has a rivalry with his neighbor Ned Flanders.,"In 2010, Entertainment Weekly named him as the greatest character of the last 20 years,",1,3,4,2,5
"What comic book publisher, founded in 1934, is one of the largest and most well-known in the world?",DC Comics,https://en.wikipedia.org/wiki/DC_Comics,This is a company that is owned by Warner Bros. Discovery. and produces entertainment featuring superheroes.,"This company publishes entertainment featuring Superman, Batman, and Wonder Woman.",This company's primary competitor is Marvel.,This company has featured entertainment with the Teen Titans and the Suicide Squad.,This is a comic book publisher that released its first comic in 1937.,2,1,3,4,5
"Name the entrepreneur who co-founded X.com, an online payment company, which eventually merged with Confinity to become PayPal.",Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,"This man is the wealthiest person in the world, with an estimated net worth of US$219 billion as of November 2023,",To settle a lawsuit this billionaire stepped down as the chairman of Tesla and paid a $20 million fine.,This billionaire is founder of the Boring Company and xAI; co-founder of Neuralink and OpenAI.,"This billionaire and his brother Kimbal, co-founded online city guide software company Zip2.","This billionaire was born in Pretoria, South Africa and holds citizenship to three different countries.",1,2,3,4,5
What movie depicts the characters facing their deepest fears as they confront a supernatural force that preys on their fears?,It,https://en.wikipedia.org/wiki/It_(2017_film),The movie has a clown as its main villain.,The movie's trademark scene shows a clown in a drain inviting a kid to come closer.,The movie is based on a Stephen King novel.,Bill Skarsgård plays one of the main characters of the film.,The novel adapted in the movie was also adapted in a very famous 1990 miniseries.,1,2,3,4,5
"Identify the football icon who led Argentina to victory in the 1986 FIFA World Cup, delivering an unforgettable and iconic performance throughout the tournament.",Diego Maradona,https://en.wikipedia.org/wiki/Diego_Maradona,One of the greatest football players in the history of the sport,He was one of the two joint winners of the FIFA player of the 20th century award,He was known as free kick specialist,He was born on 30 0ctober 1960,"He was given the nickname ""The Golden Boy""",1,2,3,4,5
Name the politician who was the Governor of Indiana from 2013 to 2017 before becoming Vice President.,Mike Pence,https://en.wikipedia.org/wiki/Mike_Pence,He is a member of the Republican Party.,He worked as an attorney before entering politics.,He is married to Karen Sue Pence and has three children.,He is a strong supporter of gun rights and tax cuts.,He is known for his calm and collected demeanor.,1,2,3,4,5
"What rapper, born in St. Joseph, Missouri, became one of the best-selling music artists in the world?",Eminem,https://en.wikipedia.org/wiki/Eminem,"This rapper is also known as ""Slim Shady"".",This rapper signed with Dr. Dre's Aftermath Entertainment and achieved popularity in 1999 with The Slim Shady LP.,"After a four year hiatus this rapper came back with the release of Relapse (2009) and Recovery, which was released the following year.","This rapper starred in the 2002 musical drama film ""8 Mile"".","At the age of 14 this rapper began rapping with high-school friend Mike Ruby; they adopted the names ""Manix"" and ""M&M"".",1,2,3,4,5
What is the name of the mountain located in Washington with a height of 2.549m?,Mount St. Helens,https://en.wikipedia.org//w/index.php?title=Mount_St._Helens,"The mountain is located in Washington state, USA.","The mountain erupted in 1980, causing a major volcanic eruption.",The mountain is a beautiful and scenic landmark.,The mountain is one of the most active volcanoes in the Cascade Range.,"The mountain is a popular destination for hiking, camping, and skiing.",1,2,3,4,5
"What European nation shares borders with Germany, Czech Republic, and Hungary?",Austria,https://en.wikipedia.org/wiki/Austria,This country is located in Central Europe.,Its capital city is Vienna.,"It is a mountainous country, with the Alps forming a significant portion of its landscape.",It is a member of the European Union.,"Its name is derived from the Latin word for ""east.""",5,1,4,4,3
What city in the United States has the highest population?,New York City,https://en.wikipedia.org/wiki/New_York_City,"This city is often referred to as ""The Big Apple"" and is a global hub for finance, culture, and fashion.","The city is divided into five boroughs, each with its own unique character and attractions.","It is home to Central Park, one of the most famous urban parks in the world.","The city has a diverse population, with a rich history of immigration that has contributed to its vibrant cultural scene.","The Statue of Liberty, a symbol of freedom and democracy, stands at the entrance to the harbor of this city.",1,2,3,4,5
"In which nation can you find cities like Krakow, and Gdansk?",Poland,https://en.wikipedia.org/wiki/Poland,"it is a parliamentary republic, with its bicameral legislature comprising the Sejm and the Senate.",it is the fifth most populous member state of the European Union.,crowned white-tailed eagle are national symbol.,it has red and white in its flag,it has fifth-largest cosmetic market in Europe.,5,3,1,2,4
"Name the artist whose debut single, 'Heartbreak Hotel,' became a hit and marked the beginning of his successful music career.",Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,He is celebrated around the world for his music and unique outfit.,He died at a young age.,He played roles for the tv screen as a music performer.,He is considered to be the king of rock.,One of the most influential artists of the 20th century,1,3,2,4,5
"What conflict, also known as the October War, took place in 1973 between Israel and a coalition of Arab states?",Yom Kippur War,https://en.wikipedia.org/wiki/Yom_Kippur_War,"What was the name of the war that took place in 1973 between Israel and a coalition of Arab states, and was also known as the Ramadan War?","Which war began on 6 October 1973, when the Arab coalition jointly launched a surprise attack against Israel on the Jewish holy day?","Following the outbreak of hostilities, both the United States and the Soviet Union initiated massive resupply efforts to their allies (Israel and the Arab states respectively) during which war?","The majority of combat between the two sides of which war, took place in the Sinai Peninsula and the Golan Heights?","After three days of heavy fighting, Israel halted the Egyptian offensive, resulting in a military stalemate on that front, and pushed the Syrians back to the pre-war ceasefire lines in which war?",1,2,4,3,5
"What conflict, also known as the October War, took place in 1973 between Israel and a coalition of Arab states?",Yom Kippur War,https://en.wikipedia.org/wiki/Yom_Kippur_War,"During this conflict, Egypt and Syria were the main opponents of Israel.",The conflict is also known as the the Fourth Arab–Israeli War.,Ephraim Katzir and Golda Meir were the leaders of Israel during the conflict.,"The conflict happened at Golan Heights, Sinai Peninsula, Suez Canal and surrounding regions.",The conflict lasted 2 weeks and 5 days.,1,2,3,4,5
"Identify the corporation that operates under various names, one beeing Asda in the United Kingdom.",Walmart,https://en.wikipedia.org/wiki/Walmart,"This is a global American company calling Bentonville, Arkansas its home.","This company's motto is ""Save money. Live better.""",This company used to have a hyphen in its name but now that hyphen is a spark.,This company was founded by Sam Walton.,One of this company's main competitors in North America is Target.,2,3,5,1,4
What cinematic universe includes films like 'Man of Steel' and 'Aquaman'?,DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,"The cinematic universe features iconic superhero characters like Superman, Batman, and Wonder Woman.",It was established by Warner Bros. Pictures and DC Comics,It is known for its darker and more mature tone compared to other superhero universes.,"The films are often interconnected, sharing plot elements and characters across the franchise.","Despite the criticism, it has also gained a dedicated fan base and commercial success",1,2,3,4,5
"Identify the sea captain who, in 1577, set sail on the famous expedition known as the 'Circumnavigation of the Globe,' returning to England in 1580.",Francis Drake,https://en.wikipedia.org/wiki/Francis_Drake,He began his career as a slave trader.,He teamed with a band of escaped slaves for one of his most profitable raids.,He claimed California for England.,He struck the first blow against the Spanish Armada.,"He died of dysentery around 28 January 1596 off the coast of Porto belo , Panama, and was buried at sea.",1,2,3,4,5
What racing discpiline of alpine skiing was introduced to the Winter Olympics in 1988?,Super-G,https://en.wikipedia.org//w/index.php?title=Super-G,this specific category of skiing competition wasn't officially introduced into the olympics until the late 90s.,The g in the name of this skiing category stands for 'giant',this skiing category ran as a world cup test in 1982 but didn't make it into the olympics until 1998,Hermann Maier of Austria is considered the greatest ever in this category of skiing.,"The vertical drop for this category of skiing competition must be between 350–650 m (1,150–2,130 ft) for men",1,3,2,4,5
Who is the elusive candy maker that challenges children's behavior with the Oompa-Loompas as witnesses?,Willy Wonka,https://en.wikipedia.org/wiki/Willy_Wonka,This chocolate maker stars in a movie based on a popular children’s book by Roald Dahl.,Johnny Depp portrayed this character in the 2005 remake of the movie starring Charlie Bucket.,This adult is a magical inventor and chocolatier in a book by Roald Dahl.,This man wears a top hat in the book Charlie and the Chocolate Factory.,This man was portrayed by Gene Wilder in a 1971 children’s movie.,1,2,4,3,5
"Name the studio that was founded by Andy Gavin and Jason Rubin in 1984 and is based in Santa Monica, California.",Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog,The studio was acquired by Sony in 2001 and integrated  to Sony Interactive Entertainment,The studio owners produced the games Rings of Power and Way of the Warrior in the early 1990s.,"The studio is home to the ICE Team, one of Sony's World Wide Studios central technology groups",The studio won the Studio of the Year award at the 2013 VGX,"The company enjoys creative freedom, with the parent company (Sony) not involved in development of their games.",2,1,3,4,5
"Name the gaming platform that featured a unique library of games, including titles like GoldenEye 007, Banjo-Kazooie, and Pokémon Stadium.",Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64,The gaming platform was known for its innovative 3D graphics and unique controller design.,It was released in 1996 and competed with the Sony PlayStation and Sega Saturn,"The platform boasted a diverse range of genres, including platformers, shooters, racing games, and adventure titles.","It left a lasting impact on the gaming industry, influencing future generations of consoles and game design",It was the last major home console to use cartridges as its primary storage format.,1,2,3,4,5
Where is the head quarters for the International Federation for Human Rights?,Paris,https://en.wikipedia.org/wiki/Paris,The city houses the Louvre museum.,The city is known as the City of Light.,The city hosted the 1998 FIFA World Cup.,The city named one of its streets after Victor Hugo when the author died.,The historical district along the city's river has been classified as a UNESCO World Heritage Site.,1,2,3,4,5
What was the name of the empire that succeeded the Byzantine Empire and reached its zenith under Suleiman the Magnificent?,Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire,The empire's flag is red feauting the crescent and the star.,The Empire's defeat and the occupation of part of its territory came in the aftermath of World War I.,"The empire controlled much of Southeast Europe, West Asia, and North Africa between the 14th and early 20th centuries.","The empire engaged in genocide against the Armenians, Assyrians, and Greeks.",The capital of the empire during its early years was Sogut.,1,2,3,4,5
"What Balkan country experienced political changes in the 21st century, including the ousting of Slobodan Milošević?",Serbia,https://en.wikipedia.org/wiki/Serbia,What is the name of this landlocked country at the crossroads of Southeast and Central Europe?,"What country has a flag has three equal horizontal bands, red, blue, white with the lesser coat of arms left of center?",What country has a coat of arms with a large crown on top and silver double-headed eagle on bottom on a red background?,What country's capital is Belgrade?,"What country shares land borders with Hungary to the north, Romania to the northeast, Bulgaria to the southeast, North Macedonia?",1,2,3,4,5
Which Gulf country is the world's largest oil exporter and holds vast oil reserves?,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,The country's capital and largest city is Riyadh.,"The country is bordered, among others, by the Red Sea, the Persian Gulf, and the United Arab Emirates.",Mecca can be found in this country.,This country has the largest economy in the Middle East.,93% of this country's population is muslim.,1,2,3,4,5
"Which empire, known for its cultural and architectural achievements, was the successor to the Seljuk Sultanate of Rum?",Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire,The empire was founded in northwestern Anatolia in the late 13th century.,"The empire reached its peak in the 16th and 17th centuries, when it controlled a vast territory that stretched from Eastern Europe to North Africa and the Middle East.","The empire was known for its tolerance of different cultures and religions, and it played a major role in the development of Islamic art, architecture, and literature.","The empire was ruled by a succession of powerful sultans, including Osman I, Suleiman the Magnificent, and Mehmed the Conqueror.","The empire made significant contributions to the fields of mathematics, science, and medicine.",1,2,3,4,5
